,No,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
158,159,2,1,250,2,0
159,160,2,1,250,2,0
160,161,2,1,250,2,0
161,162,2,1,250,2,0
162,163,2,1,250,2,0
163,164,2,1,250,2,1
164,165,2,1,250,2,1
165,166,2,1,250,2,1
166,167,2,1,250,2,0
167,168,2,1,250,2,0
168,169,2,1,250,2,0
169,170,2,1,250,2,0
170,171,2,1,250,2,0
171,172,2,1,250,2,0
172,173,2,1,250,2,0
173,174,2,1,250,2,0
174,175,2,1,250,2,0
175,176,11,10,2500,35,0
176,177,11,4,1000,16,1
177,178,4,5,1250,33,1
178,179,4,6,1500,41,1
179,180,2,3,750,22,0
180,181,4,4,1000,26,1
181,182,10,4,1000,16,0
182,183,2,4,1000,35,0
183,184,4,12,3000,88,0
184,185,13,8,2000,26,0
185,186,11,9,2250,33,0
186,187,4,5,1250,34,0
187,188,4,4,1000,26,0
188,189,8,15,3750,77,0
189,190,4,5,1250,35,1
190,191,4,7,1750,52,0
191,192,4,7,1750,52,0
192,193,2,4,1000,35,0
193,194,11,11,2750,42,0
194,195,2,2,500,14,0
195,196,2,5,1250,47,1
196,197,9,8,2000,38,1
197,198,4,6,1500,47,0
198,199,11,7,1750,29,0
199,200,9,9,2250,45,0
200,201,4,6,1500,52,0
201,202,4,7,1750,58,0
202,203,6,2,500,11,1
203,204,4,7,1750,58,0
204,205,11,9,2250,38,0
205,206,11,6,1500,26,0
206,207,2,2,500,16,0
207,208,2,7,1750,76,0
208,209,11,6,1500,27,0
209,210,11,3,750,14,0
210,211,4,1,250,4,0
211,212,4,1,250,4,0
212,213,4,1,250,4,0
213,214,4,1,250,4,0
214,215,4,1,250,4,0
215,216,4,1,250,4,1
216,217,4,1,250,4,0
217,218,4,1,250,4,0
218,219,4,1,250,4,0
219,220,4,1,250,4,0
220,221,4,1,250,4,0
221,222,4,1,250,4,1
222,223,4,1,250,4,1
223,224,4,1,250,4,0
224,225,4,1,250,4,1
225,226,4,1,250,4,1
226,227,4,1,250,4,0
227,228,4,3,750,24,0
228,229,4,1,250,4,0
229,230,4,1,250,4,0
230,231,4,1,250,4,0
231,232,4,1,250,4,1
232,233,4,1,250,4,0
233,234,10,8,2000,39,0
234,235,14,7,1750,26,0
235,236,8,10,2500,63,0
236,237,11,3,750,15,0
237,238,4,2,500,14,0
238,239,2,4,1000,43,0
239,240,8,9,2250,58,0
240,241,8,8,2000,52,1
241,242,11,22,5500,98,0
242,243,4,3,750,25,1
243,244,11,17,4250,79,1
244,245,9,2,500,11,0
245,246,4,5,1250,46,0
246,247,11,12,3000,58,0
247,248,7,12,3000,86,0
248,249,11,2,500,11,0
249,250,11,2,500,11,0
250,251,11,2,500,11,0
251,252,2,6,1500,75,0
252,253,11,8,2000,41,1
253,254,11,3,750,16,1
254,255,12,13,3250,59,0
255,256,2,3,750,35,0
256,257,16,8,2000,28,0
257,258,11,7,1750,37,0
258,259,4,3,750,28,0
259,260,12,12,3000,58,0
260,261,4,4,1000,41,0
261,262,11,14,3500,73,1
262,263,2,2,500,23,0
263,264,2,3,750,38,1
264,265,4,5,1250,58,0
265,266,4,4,1000,43,1
266,267,3,2,500,23,0
267,268,11,8,2000,46,0
268,269,4,7,1750,82,0
269,270,13,4,1000,21,0
270,271,16,11,2750,40,0
271,272,16,7,1750,28,0
272,273,7,2,500,16,0
273,274,4,5,1250,58,0
274,275,4,5,1250,58,0
275,276,4,4,1000,46,0
276,277,14,13,3250,57,0
277,278,4,3,750,34,0
278,279,14,18,4500,78,0
279,280,11,8,2000,48,0
280,281,14,16,4000,70,0
281,282,14,4,1000,22,1
282,283,14,5,1250,26,0
283,284,8,2,500,16,0
284,285,11,5,1250,33,0
285,286,11,2,500,14,0
286,287,4,2,500,23,0
287,288,9,2,500,16,1
288,289,14,5,1250,28,1
289,290,14,3,750,19,1
290,291,14,4,1000,23,1
291,292,16,12,3000,50,0
292,293,11,4,1000,28,0
293,294,11,5,1250,35,0
294,295,11,5,1250,35,0
295,296,2,4,1000,70,0
296,297,14,5,1250,28,0
297,298,14,2,500,14,0
298,299,14,2,500,14,0
299,300,14,2,500,14,0
300,301,14,2,500,14,0
301,302,14,2,500,14,0
302,303,14,2,500,14,0
303,304,2,3,750,52,0
304,305,14,6,1500,34,0
305,306,11,5,1250,37,1
306,307,4,5,1250,74,0
307,308,11,3,750,23,0
308,309,16,4,1000,23,0
309,310,16,3,750,19,0
310,311,11,5,1250,38,0
311,312,11,2,500,16,0
312,313,12,9,2250,60,0
313,314,9,1,250,9,0
314,315,9,1,250,9,0
315,316,4,2,500,29,0
316,317,11,2,500,17,0
317,318,14,4,1000,26,0
318,319,11,9,2250,72,1
319,320,11,5,1250,41,0
320,321,15,16,4000,82,0
321,322,9,5,1250,51,1
322,323,11,4,1000,34,0
323,324,14,8,2000,50,1
324,325,16,7,1750,38,0
325,326,14,2,500,16,0
326,327,2,2,500,41,0
327,328,14,16,4000,98,0
328,329,14,4,1000,28,1
329,330,16,7,1750,39,0
330,331,14,7,1750,47,0
331,332,16,6,1500,35,0
332,333,16,6,1500,35,1
333,334,11,7,1750,62,1
334,335,16,2,500,16,0
335,336,16,3,750,21,1
336,337,11,3,750,28,0
337,338,11,7,1750,64,0
338,339,11,1,250,11,1
339,340,9,3,750,34,0
340,341,14,4,1000,30,0
341,342,23,38,9500,98,0
342,343,11,6,1500,58,0
343,344,11,1,250,11,0
344,345,11,1,250,11,0
345,346,11,1,250,11,0
346,347,11,1,250,11,0
347,348,11,1,250,11,0
348,349,11,1,250,11,0
349,350,11,1,250,11,0
350,351,11,1,250,11,0
351,352,11,2,500,21,0
352,353,11,5,1250,50,0
353,354,11,2,500,21,0
354,355,16,4,1000,28,0
355,356,4,2,500,41,0
356,357,16,6,1500,40,0
357,358,14,3,750,26,0
358,359,9,2,500,26,0
359,360,21,16,4000,64,0
360,361,14,6,1500,51,0
361,362,11,2,500,24,0
362,363,4,3,750,71,0
363,364,21,13,3250,57,0
364,365,11,6,1500,71,0
365,366,14,2,500,21,1
366,367,23,15,3750,57,0
367,368,14,4,1000,38,0
368,369,11,2,500,26,0
369,370,16,5,1250,40,1
370,371,4,2,500,51,1
371,372,14,3,750,31,0
372,373,4,2,500,52,0
373,374,9,4,1000,65,0
374,375,14,4,1000,40,0
375,376,11,3,750,40,1
376,377,14,5,1250,50,0
377,378,14,1,250,14,0
378,379,14,1,250,14,0
379,380,14,1,250,14,0
380,381,14,1,250,14,0
381,382,14,1,250,14,0
382,383,14,1,250,14,0
383,384,14,1,250,14,0
384,385,14,1,250,14,0
385,386,14,7,1750,72,0
386,387,14,1,250,14,0
387,388,14,1,250,14,0
388,389,9,3,750,52,0
389,390,14,7,1750,73,0
390,391,11,4,1000,58,0
391,392,11,4,1000,59,0
392,393,4,2,500,59,0
393,394,11,4,1000,61,0
394,395,16,4,1000,40,0
395,396,16,10,2500,89,0
396,397,21,2,500,21,1
397,398,21,3,750,26,0
398,399,16,8,2000,76,0
399,400,21,3,750,26,1
400,401,18,2,500,23,0
401,402,23,5,1250,33,0
402,403,23,8,2000,46,0
403,404,16,3,750,34,0
404,405,14,5,1250,64,0
405,406,14,3,750,41,0
406,407,16,1,250,16,0
407,408,16,1,250,16,0
408,409,16,1,250,16,0
409,410,16,1,250,16,0
410,411,16,1,250,16,0
411,412,16,1,250,16,0
412,413,16,1,250,16,0
413,414,16,4,1000,45,0
414,415,16,1,250,16,0
415,416,16,1,250,16,0
416,417,16,1,250,16,0
417,418,16,1,250,16,0
418,419,16,1,250,16,0
419,420,16,2,500,26,0
420,421,21,2,500,23,0
421,422,16,2,500,27,0
422,423,21,2,500,23,0
423,424,21,2,500,23,0
424,425,14,4,1000,57,0
425,426,16,5,1250,60,0
426,427,23,2,500,23,0
427,428,14,5,1250,74,0
428,429,23,3,750,28,0
429,430,16,3,750,40,0
430,431,9,2,500,52,0
431,432,9,2,500,52,0
432,433,16,7,1750,87,1
433,434,14,4,1000,64,0
434,435,14,2,500,35,0
435,436,16,7,1750,93,0
436,437,21,2,500,25,0
437,438,14,3,750,52,0
438,439,23,14,3500,93,0
439,440,18,8,2000,95,0
440,441,16,3,750,46,0
441,442,11,3,750,76,0
442,443,11,2,500,52,0
443,444,11,3,750,76,0
444,445,23,12,3000,86,0
445,446,21,3,750,35,0
446,447,23,2,500,26,0
447,448,23,2,500,26,0
448,449,23,8,2000,64,0
449,450,16,3,750,50,0
450,451,23,3,750,33,0
451,452,21,3,750,38,0
452,453,23,2,500,28,0
453,454,21,1,250,21,0
454,455,21,1,250,21,0
455,456,21,1,250,21,0
456,457,21,1,250,21,0
457,458,21,1,250,21,0
458,459,21,1,250,21,0
459,460,21,1,250,21,0
460,461,21,1,250,21,0
461,462,21,1,250,21,0
462,463,21,1,250,21,1
463,464,21,1,250,21,0
464,465,21,1,250,21,0
465,466,21,5,1250,60,0
466,467,23,4,1000,45,0
467,468,21,4,1000,52,0
468,469,22,1,250,22,1
469,470,11,2,500,70,0
470,471,23,5,1250,58,0
471,472,23,3,750,40,0
472,473,23,3,750,41,0
473,474,14,3,750,83,0
474,475,21,2,500,35,0
475,476,26,5,1250,49,1
476,477,23,6,1500,70,0
477,478,23,1,250,23,0
478,479,23,1,250,23,0
479,480,23,1,250,23,0
480,481,23,1,250,23,0
481,482,23,1,250,23,0
482,483,23,1,250,23,0
483,484,23,1,250,23,0
484,485,23,1,250,23,0
485,486,23,4,1000,53,0
486,487,21,6,1500,86,0
487,488,23,3,750,48,0
488,489,21,2,500,41,0
489,490,21,3,750,64,0
490,491,16,2,500,70,0
491,492,21,3,750,70,0
492,493,23,4,1000,87,0
493,494,23,3,750,89,0
494,495,23,2,500,87,0
495,496,35,3,750,64,0
496,497,38,1,250,38,0
497,498,38,1,250,38,0
498,499,40,1,250,40,0
499,500,74,1,250,74,0
500,501,2,43,10750,86,1
501,502,6,22,5500,28,1
502,503,2,34,8500,77,1
503,504,2,44,11000,98,0
504,505,0,26,6500,76,1
505,506,2,41,10250,98,1
506,507,3,21,5250,42,1
507,508,2,11,2750,23,0
508,509,2,21,5250,52,1
509,512,2,11,2750,26,0
510,513,2,11,2750,28,0
511,514,3,14,3500,35,0
512,516,4,6,1500,14,0
513,525,4,9,2250,28,0
514,526,2,4,1000,11,0
515,528,2,15,3750,64,0
516,529,5,24,6000,79,0
517,533,4,8,2000,28,0
518,534,2,4,1000,14,0
519,535,2,6,1500,26,0
520,542,2,10,2500,52,0
521,545,1,14,3500,95,0
522,547,7,14,3500,48,0
523,548,2,3,750,11,0
